Startup,One liner,Website,Country,LinkedIn,Founded,Funding $m,Funding stage,Climate category,Climate subcategories,Stage,Investors,Team 1 Name,Team 1 LinkedIn,Team 1 Title,Team 2 Name,Team 2 LinkedIn,Team 2 Title,Team 3 Name,Team 3 LinkedIn,Team 3 Title,Team 4 Name,Team 4 LinkedIn,Team 4 Title,Team 5 Name,Team 5 LinkedIn,Team 5 Title,Team 6 Name,Team 6 LinkedIn,Team 6 Title
Beco,"Bamboo-based, eco-friendly, affordable home care & kitchen care products.",https://www.letsbeco.com,India,https://www.linkedin.com/company/beco-india/,2017,9.9,Series B,Industry,Waste & recycling,Scale-up,Tanglin Venture Partners,Akshay Varma,,Co-Founder,,,,,,,,,,,,,,,
Exponent Energy,15-minute full charge for EVs - on any vehicle format & Li-ion cell.,https://www.exponent.energy,India,https://www.linkedin.com/company/exponent-energy/,2020,47,Series B,Transportation,"EV charging / fleet management, Batteries",Launch,"Eight Roads Ventures, Lightspeed Venture Partners, Transition VC",Arun Vinayak,https://www.linkedin.com/in/arun-vinayak-71a5b973/,Co-founder and CEO,Sanjay Byalal Jagannath,https://www.linkedin.com/in/sanjay-byalal/,Co-founder,Ravi Kharul,https://www.linkedin.com/in/ravi-kharul-73a32414/?originalSubdomain=in,President New Product Development,,,,,,,,,
Charzer,A company providing affordable and accessible EV charging solutions.,https://www.charzer.com,India,https://www.linkedin.com/company/charzer/,2020,0.23,Pre-Seed,Transportation,EV charging / fleet management,Launch,Startup Nexus,Sameer Ranjan Jaiswal,https://www.linkedin.com/in/sameer-ranjan-jaiswal/,CEO,Arun Chouhan,https://www.linkedin.com/in/arun-kumar-chouhan/,CTO,,,,,,,,,,,,
Batx Energies,"Recycles end-of-life lithium-ion batteries using a proprietary net zero waste, zero emissions process to produce battery-grade materials.",https://batxenergies.com,India,https://www.linkedin.com/company/batxenergies/,2020,7,Seed,Industry,"Waste & recycling, Batteries",Launch,"JITO Incubation & Innovation Foundation, LetsVenture, Zephyr Peacock India",Utkarsh Singh,https://www.linkedin.com/in/utkarshsingh23/,Co-founder and CEO,Vikrant Singh,https://www.linkedin.com/in/vikrantsingh007/,Co-founder and CTO,,,,,,,,,,,,
Clean Electric,A startup developing high-performance battery packs for EVs.,https://www.cleanelectric.in,India,https://www.linkedin.com/company/cleanelectric42/,2016,8.2,Seed,Transportation,Batteries,Pilot,"pi Ventures, Climate Angels, IIMA Ventures, Kalaari Capital, Info Edge ventures",Akash Gupta,https://www.linkedin.com/in/akash-gupta-6961b1121/?originalsubdomain=in,Co-Founder and CEO,,,,,,,,,,,,,,,
Living Things,Air conditioning optimization technology designed for commercial and residential markets.,https://livingthings.ai,India,https://www.linkedin.com/company/living-things-feel-free/,2019,1.12,Seed,"Energy, Carbon, Built environment","Carbon marketplace, Heating & cooling",Launch,"Zenatix Solutions, 75F",Madhusudhan Naik,https://www.linkedin.com/in/madhusudhan-naik/,Co-Founder and CEO,Shraddha Pandram,https://www.linkedin.com/in/shraddha-pandram/,Co-Founder,Shivani Umredkar,https://www.linkedin.com/in/shivani-umredkar/,Co-Founder,Mayank Gupta,https://www.linkedin.com/in/i-mayank-gupta/,Co-Founder and Chief Strategy Officer,Sakib Shaikh,https://www.linkedin.com/in/sakib-shaikh-/,Co-Founder,,,
RACEnergy,Offers electric vehicle charging solutions for efficient mobility.,https://race.energy,India,https://www.linkedin.com/company/racenergy/,2018,4.91,Seed,Transportation,"Micromobility, Autos, Batteries, EV charging / fleet management",Pilot,"Third Derivative, Micelio Fund, GrowX Ventures, T-Hub",Gautham Maheswaran,https://www.linkedin.com/in/gautham-maheswaran-8ab38393/,Co-Founder and CTO,Arun Sreyas Reddy,https://www.linkedin.com/in/arun-sreyas/,Co-Founder and CEO,,,,,,,,,,,,
AgriCapita Innotech,Providing farmers with precision farming solutions and actionable information to make better-informed and confident farming decisions.,https://www.agricapita.com,India,https://www.linkedin.com/company/agricapita/about/,2022,,Pre-Seed,Food & land use,Crop yield,Pilot,,Atul Kumar Singh,https://www.linkedin.com/in/atul18/,MD,Mohan Reddy Nimmala,https://www.linkedin.com/in/nimmala-mohan-reddy-88157888/,CEO,,,,,,,,,,,,
Aerostrovilos Energy,Developer of fuel-flexible micro gas turbines for distributed power generation and industrial use.,https://www.aerostrovilos.com,India,,2017,0.523,Seed,Energy,DERs - Distributed energy resources,Pilot,"Mumbai Angels, IIT Madras Incubation Cell, Bharat Petroleum Corporation, Tube Investments of India Limited (TII)",Rohit Grover,https://www.linkedin.com/in/rohit-grover-9a895160/,Co-Founder and CEO,Pradeep Thangappan,https://www.linkedin.com/in/pradeep-thangappan-059a85153/,Co-Founder and Director,Satya Chakravarthy,https://www.linkedin.com/in/satya-chakravarthy-51326241/,Co-Founder,,,,,,,,,
Kamal Kisan (Simple Farms),Smart mechanization technology for small and marginal farmers to reduce labor dependency and increase profitability.,http://kamalkisan.com,India,https://www.linkedin.com/company/kamal-kisan/,2013,0.194,Seed,Food & land use,Crop yield,Pilot,"Social Alpha (India), Rural Technology and Business Incubator (RTBI), IIT Madras Incubation Cell",Devi Murthy,https://www.linkedin.com/in/devi-murthy-11958212/,Founder and CEO,,,,,,,,,,,,,,,
