company name,company description,website url,linkedin url,careers page url,job listings page url,job post1 url,job post1 title,job post2 url,job post2 title,job post3 url,job post3 title
Forest Stewardship Council,Promoting sustainable forestry to combat climate and biodiversity crises globally.,https://fsc.org,https://www.linkedin.com/company/fsc-international-bonn,https://fsc.org/en/careers-at-fsc,https://fsc.jobs.personio.com/?language=en,https://fsc.jobs.personio.com/job/2125086?language=en,Chief Programme Officer (m-f-d) - Permanent employee-Full-timeÂ·FSC Global Development GmbHÂ FSC Global Development GmbH,https://fsc.jobs.personio.com/job/2268478?language=en,Executive Assistant (m-f-d) - Temporary-Full-timeÂ Bonn-Germany (Hybrid)Â·Bonn Germany (Hybrid),https://fsc.jobs.personio.com/job/2005656?language=en,Media Relations Manager (m-f-d) - Temporary-Full-timeÂ·Bonn Germany (Hybrid)Â·Bonn Germany (Hybrid)
Polestar,Driving society forward with uncompromised electric performance and progressive innovation.,https://www.polestar.com,https://se.linkedin.com/company/polestarcars,https://www.polestar.com/global/about/careers/,https://polestar.teamtailor.com/jobs,https://polestar.teamtailor.com/jobs/5943474-global-fleet-operations-support-internship,Global Fleet Operations Support | Internship - Global Sales · Gothenburg- Sweden,https://polestar.teamtailor.com/jobs/5280539-global-finance-process-owner-record-to-report,Global Finance Process Owner | Record to Report - Finance · Gothenburg Sweden · Hybrid,https://polestar.teamtailor.com/jobs/3537557-internship-operations,Internship | Operations - Global Sales · Cologne Germany
Sweep,Streamline carbon management and reduction across your business with comprehensive software solutions.,https://www.sweep.io,https://www.linkedin.com/company/sweephq,https://sweep.run/careers/,https://sweep.teamtailor.com/jobs,https://sweep.teamtailor.com/jobs/6279410-customer-success-leader,Customer Success Leader - Customer Success · London · Hybrid,https://sweep.teamtailor.com/jobs/6229943-senior-ai-engineer,Senior AI Engineer - Engineering · Multiple locations · Hybrid,https://sweep.teamtailor.com/jobs/6218362-partner-sales-manager-london,Partner Sales Manager - (London) - Partnership · London
Climate Bonds Initiative,Mobilizing $100 trillion bond market for global climate solutions.,https://www.climatebonds.net,https://uk.linkedin.com/company/climate-bonds-initiative,https://www.climatebonds.net/about/careers,https://jobs.workable.com/company/tZM1AeDiXDRU7MAbb2se1w/jobs-at-climate-bonds-initiative,https://jobs.workable.com/view/jNTn9Sw71YAAdHWtiX7adj/remote-bid-coordinator-in-united-kingdom-at-climate-bonds-initiative,Bid Coordinator,https://jobs.workable.com/view/6fDiFfXK4raMU2prGpdcEC/remote-technical-assistance-senior-analyst-in-united-kingdom-at-climate-bonds-initiative,Technical Assistance Senior Analyst,,
Fuse Energy,Accelerating global renewable energy transition with comprehensive solutions.,https://www.fuseenergy.com,https://www.linkedin.com/company/fuseenergyhq,https://www.f.energy/join-us,https://jobs.workable.com/company/mys3rnjh4iJKUK9w7HGpEC/jobs-at-fuse-energy,https://jobs.workable.com/view/uRexDPuNLGzokDgVnFkS64/lead-heat-pump-installer-in-nationwide-at-fuse-energy,Lead Heat Pump Installer,https://jobs.workable.com/view/7oUvCzqH9H5LoKKMfwE7v7/operations-analyst-in-dublin-at-fuse-energy,Operations Analyst,https://jobs.workable.com/view/adQzVBpKVhZHNZMwegzAgJ/warehouse-associate-in-london-at-fuse-energy,Warehouse Associate
ESG Book,"Transforming sustainability data access for 50,000+ companies to drive impactful climate solutions.",https://www.esgbook.com,https://uk.linkedin.com/company/esgbook,https://www.jobaaj.com/company/esg-book-careers,https://jobs.workable.com/company/vYpLrJfKZCxnNrMbN5kUxT/jobs-at-esg-book,https://jobs.workable.com/view/kydwAy73J8bmYRrzb41go2/hybrid-client-enablement-analyst-in-frankfurt-am-main-at-esg-book,Client Enablement Analyst,https://jobs.workable.com/view/hPRb2kALDdE8eymdmwQs8a/hybrid-platform-engineer-in-london-at-esg-book,Platform Engineer,,
Altruistiq,Automate and optimize corporate sustainability data for impactful climate action.,https://altruistiq.com,https://uk.linkedin.com/company/altruistiq,https://altruistiq.com/about-us/careers,https://job-boards.eu.greenhouse.io/altruistiq/jobs/4650898101,,,,,,
Tandem,Banking solutions that promote green finance and support eco-friendly financial decisions.,https://tandem.net,https://www.linkedin.com/company/tandem-health,https://www.tandemdiabetes.com/about-us/careers,https://www.linkedin.com/company/tandemdiabetes/jobs, https://recruiting2.ultipro.com/TAN1005TDCI/JobBoard/7c56fc7c-1edd-48ec-939c-10225b1f3df1/OpportunityDetail?opportunityId=0e822c58-94df-4f55-b750-bfe077e30f8e&sourceId=b3fb8d7d-bf39-49f3-bfbd-dacc0b9788f6&source=LinkedIn&utm_source=LINKEDIN, Marketing  Administrator- Brussels Belgium, https://recruiting2.ultipro.com/TAN1005TDCI/JobBoard/7c56fc7c-1edd-48ec-939c-10225b1f3df1/OpportunityDetail?opportunityId=87a52ad8-36d1-4fdc-8e95-16289e6164bf&sourceId=b3fb8d7d-bf39-49f3-bfbd-dacc0b9788f6&source=LinkedIn&utm_source=LINKEDIN, Inside Sales Associate (Hybrid)San Diego-CA,https://recruiting2.ultipro.com/TAN1005TDCI/JobBoard/7c56fc7c-1edd-48ec-939c-10225b1f3df1/OpportunityDetail?opportunityId=8baa0f7e-8590-49af-ac54-dbf193bb2633&sourceId=b3fb8d7d-bf39-49f3-bfbd-dacc0b9788f6&source=LinkedIn, Specialist I-Inside Sales Orlando- FL
Willow,"Optimize buildings for security, sustainability, and efficiency with real-time integrated facility management.",https://www.imdb.com,https://www.linkedin.com/company/willowinc,https://www.willowbridgepc.com/careers,https://www.indeed.com/q-the-willows-jobs.html,,,,,,
Qwello,Designing user-focused EV chargers to accelerate Europe's electric transition and climate goals.,https://qwello.eu,https://de.linkedin.com/company/qwello,https://qwello.eu/en/careers,https://jobs.lever.co/qwello.eu,https://jobs.lever.co/qwello.eu/824dca7b-5e3c-415b-8fdb-6f549e11510d,Backend DeveloperHybrid —Full-timeMunich- Bavaria,https://jobs.lever.co/qwello.eu/2e82e278-3719-49a3-afae-02b393fe79e4,Marketing Manager Hybrid —Full-time-Veenendaal,https://jobs.lever.co/qwello.eu/58fcad30-a38d-465a-9049-cbb00b88e73e,Fleet Reliability and Maintenance Working Student Hybrid —Working StudentMunich Bavaria
Node energy,Optimize energy systems for real estate to cut CO2 emissions and costs.,https://www.node.energy,https://au.linkedin.com/company/node-energy-services,https://node4.co.uk/careers/,https://www.linkedin.com/jobs/node.energy-jobs-worldwide?f_C=18141492&trk=top-card_top-card-primary-button-top-card-primary-cta,,,,,,
Exponent Energy,Accelerating the energy shift to scale electric vehicles globally.,https://www.exponent.energy,https://in.linkedin.com/company/exponent-energy,https://www.exponent.energy/careers,https://jobs.workable.com/company/nVSLoGssmjHMZHLtUxv8MW/jobs-at-exponent-energy,https://jobs.workable.com/view/gzQ7RLtBCGCfJKJABtoGS2/city-lead-in-delhi-at-exponent-energy,City Lead,https://jobs.workable.com/view/g3nypa79MPUv7Zi2c974ay/product-manager-(software%2C-network-%26-cx)-in-bengaluru-at-exponent-energy,Product Manager (Software Network & CX),https://jobs.workable.com/view/j6SF3gs5ykEPjoXrDtaxHT/vehicle-integration-engineer-in-bengaluru-at-exponent-energy,Vehicle Integration Engineer
HITACHI ENERGY,Advancing sustainable energy systems towards a carbon-neutral future.,https://www.hitachienergy.com,https://www.linkedin.com/company/hitachienergy,https://www.hitachienergy.com/us/en/careers/open-jobs,https://hitachi.wd1.myworkdayjobs.com/hitachi,https://hitachi.wd1.myworkdayjobs.com/hitachi/job/Chennai-Tamil-Nadu-India/Project-Engineer---Steel-Structures_R0097830/apply, Project-Engineer---Steel-Structures_R0097830-(HE)Office_Commerzone(Chennai Tamil Nadu India),https://hitachi.wd1.myworkdayjobs.com/hitachi/job/Chennai-Tamil-Nadu-India/Project-Engineer---Primary-Engineering_R0086576/apply, Project Engineer - Primary Engineering Full time(Chennai Tamil Nadu India) , https://hitachi.wd1.myworkdayjobs.com/hitachi/job/Dammam-Eastern-Region-Saudi-Arabia/GIS-installation---commissioning-supervisor_R0103081/apply, GIS installation & commissioning supervisor Full time (Dammam Eastern Region Saudi Arabia)
Eurofins,"Analytical testing services promoting safer, healthier, and more sustainable environments globally.",https://www.eurofins.com,https://ca.linkedin.com/company/eurofins,https://careers.eurofins.com/us/jobs/,https://careers.eurofins.com/us/,,,,,,
Contact Energy,"Driving New Zealand's transition to reliable, low-carbon renewable energy.",https://contact.co.nz,https://nz.linkedin.com/company/contactenergy,https://contact.co.nz/about-us/careers,https://careers.smartrecruiters.com/ContactEnergy,,,,,,
Amini,Building Africa's environmental data infrastructure with AI to address climate challenges.,https://www.amini.com,https://www.linkedin.com/company/amini-innovation-corporation-aico-,https://www.amini.com/ourCompany?company=careers,https://www.amini.com/ourCompany?company=careers,,,,,,
Landis+Gyr,Empowering a smarter grid for reduced environmental footprints and energy efficiency worldwide.,https://www.landisgyr.com,https://www.linkedin.com/company/landis,https://careers.landisgyr.com/,https://www.indeed.com/q-landis-gyr-jobs.html, https://careers.landisgyr.com/job/Alpharetta-Staff-Engineer-Software-Development-GA-30004/1170528001/, Staff Engineer Software Development(Alpharetta-GA), https://careers.landisgyr.com/job/Alpharetta-Technical-Implementation-Engineer-I-GA-30004/1208234701/, Technical Implementation Engineer I (Alpharetta GA), https://careers.landisgyr.com/job/Kirkland-Premium-Support-Engineer-II-WA-98033/1226579201/, Premium Support Engineer II-Kirkland-WA(Totem lake area)
Blockchain & Climate Institute,"Empowering climate action with blockchain, AI, and IoT for a sustainable future.",https://blockchainclimate.org,https://uk.linkedin.com/company/blockchainclimateinstitute,https://web3.career/web3-companies/blockchain-climateinstitute,https://jobs.workable.com/company/dWQSzD2QrACgo5rV1SNuh3/jobs-at-blockchain-%26-climate-institute,https://jobs.workable.com/view/oNThaK7wDCpM2hA7rMmLPB/remote-unpaid-volunteer---knowledge-manager-in-washington-at-blockchain-%26-climate-institute%2F-bci-america-inc.,UNPAID VOLUNTEER - Knowledge Manager,https://jobs.workable.com/view/gKcgc5bDDKjY9ECBtf9gT4/remote-unpaid-volunteer---learning-designer-%2F-learning-technologist-in-united-kingdom-at-blockchain-%26-climate-institute%2F-bci-america-inc.,UNPAID VOLUNTEER - Learning Designer / Learning Technologist,https://jobs.workable.com/view/3hvU9nbgxFjXpnyQLPuEEe/remote-unpaid-volunteer---chief-of-staff-in-hong-kong-at-blockchain-%26-climate-institute%2F-bci-america-inc.,UNPAID Volunteer - Chief of Staff
